,num_clean,num_fuzzy,num_remain
0,18438,14,173
1,18252,16,357
2,18066,14,545
3,17880,12,733
4,17693,12,920
5,17507,16,1102
6,17321,15,1289
7,17135,19,1471
8,16948,27,1650
9,16762,33,1830
10,16576,40,2009
11,16390,54,2181
12,16203,61,2361
13,16017,73,2535
14,15831,82,2712
15,15645,90,2890
16,15458,95,3072
17,15272,106,3247
18,15086,122,3417
19,14900,134,3591
20,14713,151,3761
21,14527,165,3933
22,14341,188,4096
23,14155,211,4259
24,13968,234,4423
25,13782,268,4575
26,13773,304,4548
27,13773,334,4518
28,13775,370,4480
29,13775,417,4433
30,13775,451,4399
31,13775,502,4348
32,13775,545,4305
33,13776,627,4222
34,13777,708,4140
35,13775,793,4057
36,13775,944,3906
37,13773,1088,3764
38,13775,1324,3526
39,13775,1662,3188
40,13773,2189,2663
41,13773,3006,1846
42,13773,3613,1239
43,13773,4741,111
44,13773,4779,73
45,13773,4794,58
46,13773,4804,48
47,13773,4813,39
48,13775,4815,35
49,13776,4818,31
