,clean_ratio_list,fuzzy_ratio_list
0,0.7999891534248061,0.13333333333333333
1,0.8039226428532296,0.11764705882352941
2,0.812807881773399,0.2
3,0.8230524019909401,0.38461538461538464
4,0.8330507516672319,0.46153846153846156
5,0.8427575965273018,0.7058823529411765
6,0.8505946195589423,0.8125
7,0.8588935574229691,0.85
8,0.8672488052392472,0.8571428571428571
9,0.8755592674342302,0.8529411764705882
10,0.8822464860951922,0.8780487804878049
11,0.8889634555548777,0.8909090909090909
12,0.8957664774129844,0.9032258064516129
13,0.9036084405044326,0.9054054054054054
14,0.9120136432541688,0.9036144578313253
15,0.9199795474881759,0.8901098901098901
16,0.9276149815641374,0.8854166666666666
17,0.9336738034439861,0.897196261682243
18,0.9405448399284152,0.8943089430894309
19,0.9444332595127843,0.8962962962962963
20,0.9452222373249966,0.8881578947368421
21,0.9509223568281938,0.8975903614457831
22,0.9558638962487798,0.8941798941798942
23,0.9604408024865781,0.910377358490566
24,0.9639201088123702,0.9148936170212766
25,0.9752593774940144,0.9070631970260223
26,0.9755336140554668,0.9049180327868852
27,0.9755336140554668,0.8985074626865671
28,0.9755371660859465,0.9029649595687331
29,0.9755371660859465,0.8851674641148325
30,0.9755371660859465,0.8805309734513275
31,0.9755371660859465,0.8807157057654076
32,0.9755371660859465,0.8772893772893773
33,0.9756115264571387,0.8805732484076433
34,0.975613296559733,0.8829337094499294
35,0.9756823461091754,0.8904282115869018
36,0.975609756097561,0.8962962962962963
37,0.9756788151589952,0.8934802571166207
38,0.9756823461091754,0.8958490566037736
39,0.975609756097561,0.8953698135898978
40,0.9756788151589952,0.869406392694064
41,0.9756788151589952,0.8523445294313269
42,0.9756788151589952,0.8342556723851687
43,0.9756062146072311,0.6986503584985239
44,0.9756788151589952,0.7
45,0.9756788151589952,0.7003128258602711
46,0.9756788151589952,0.700936524453694
47,0.9756788151589952,0.7012879102617366
48,0.9756823461091754,0.7014119601328903
49,0.9756841111998258,0.7015978418759079
