,auc_list,F1_list
0,0.6026686698007344,0.09813157560276836
1,0.6266571238447166,0.09830043450343057
2,0.6574337652904176,0.10956875591395979
3,0.6769079806466471,0.10432021357062411
4,0.7225759479390672,0.14667489530989292
5,0.7679222059684654,0.1415820227031383
6,0.7763486471820611,0.1827202327076775
7,0.8081792462224324,0.2706520592235741
8,0.8077487232930904,0.33232295934779527
9,0.8122819864861621,0.365789499099881
10,0.8181818758318343,0.3781815012480475
11,0.8183901535144246,0.4199959896129548
12,0.8140884039168497,0.4161990629577519
13,0.8073328183383484,0.4348697332647063
14,0.8193970051331041,0.45606160796945666
15,0.8149070755354811,0.4707959482572577
16,0.8309441318897085,0.49089429494575765
17,0.8298281576597505,0.5225820735392024
18,0.8435714765624274,0.5810530251405239
19,0.8465876411480082,0.6014795571697149
20,0.848693979092036,0.5503810101293938
21,0.8487824999526826,0.6545615830293864
22,0.8548640326734984,0.6805728752760248
23,0.862639282956313,0.702710151407447
24,0.8661582798517091,0.654791809929092
25,0.8683211384628212,0.6928006805565539
26,0.8715546539566061,0.7661954334792636
27,0.873754846126874,0.803951613153991
28,0.8754219781622093,0.7219827879331919
29,0.8724549683454997,0.7464381028317394
30,0.8748984628004579,0.8053412548928394
31,0.874104913285004,0.7319381039292228
32,0.876366227776207,0.7483495450342754
33,0.8744819562160603,0.8384941349472399
34,0.8743338577592696,0.811683435543548
35,0.8755576375193685,0.7701768746789933
36,0.8737137564474373,0.8097381312585548
37,0.8718805421066937,0.8195471123446765
38,0.8690788991439103,0.8157337683036583
39,0.8664399563522562,0.8176226859771163
40,0.8353631504893005,0.8053701562612912
41,0.8243343195506808,0.7728239764826272
42,0.8110819792275817,0.4787956444746567
43,0.6293199366994545,0.4774969325442541
44,0.5843874535306133,0.4765019120458746
45,0.6027666378729966,0.4756236341332757
46,0.5899839101465785,0.4765997846079443
47,0.5737637469937217,0.4766650473807689
48,0.5576159257418598,0.47617726980474845
49,0.5539251879702427,0.4761291852491079
